HP Tuners CSV Log File
Version: 1.0

[Log Information]
Creation Time: 4/22/2026 3:46:51 PM
Notes: 

[Channel Information]
0,4111,14410,16,2331,2135,6001,2431,6684,4608,6522,6754,6752,13115,7266,6584,6678,6751,4110,4340,4341,6231,4112,14583,2114,2111,6502,35,4311,2390,6753,6733,429,2366,2365,2348,2335,431,2301,410,432,4607,409,430,406,93,73,4,97,98,6731,99,405,6730,4606,4605,2701,74,6202,6732,4120,13,2360,6501,6510,7787,437,44,6830,6783,6782,15,438,441,443,442,2100,669,14100,14103,6781,2126,16201,2127,2124,6657,6402,6666,609,611,610,6664,6671,6688,7000,2340,2125
Offset,Trans Output Shaft RPM,TCC State Commanded,Mass Airflow (SAE),Manifold Absolute Pressure,Engine RPM,Air-Fuel Ratio Commanded,Metering Unit Valve Current Setpoint (Filtered),DPF Pressure Variance Sensor,Lambda Smoke Limit,Cyl 1 Inj Timing,Exhaust Gas Temperature B1S4,Exhaust Gas Temperature B1S2,Exhaust Gas Temperature B2S3,Combustion Emmisions Mode,Combustion Mode,DEF Pressure,Exhaust Gas Temperature B1S1,Trans Input Shaft RPM,TCC Line Pressure,TCC Desired Pressure,Main Fuel Rate,Trans Turbine RPM,Trans Shift State,Accelerator Pedal Position,Throttle Position,Fuel Pressure,Fuel Rail Pressure (SAE),TCC Slip,Fuel Mass Desired,Exhaust Gas Temperature B1S3,NOX Sensor 2 NOX Concentration,Commanded Turbo A Vane Position (SAE),Turbo Vane Position,Desired Turbo Vane Position,Boost/Vacuum,Manifold Absolute Pressure - Hi-Res,Turbo A Vane Position (SAE),Mass Airflow Sensor,Diesel Commanded Throttle B (SAE),Turbo B Vane Position (SAE),Injection Pattern Active,Diesel Commanded Throttle A (SAE),Commanded Turbo B Vane Position (SAE),Diesel Throttle Position B (SAE),Fuel Injection Timing (SAE),Accelerator Position D (SAE),Calculated Engine Load (SAE),Driver Demand Engine Torque (SAE),Actual Engine Torque (SAE),NOX Sensor 2 Oxygen Concentration,Engine Reference Torque (SAE),Diesel Throttle Position A (SAE),NOX Sensor 1 Oxygen Concentration,Desired Air Torque,Desired Load (Fuel or Air Torque),Delivered Engine Torque,Accelerator Position E (SAE),Injector Pulse Width Cyl 1,NOX Sensor 1 NOX Concentration,Trans Current Gear,Vehicle Speed (SAE),Desired Boost,Desired Fuel Pressure,Desired Fuel Pressure,Soot Load Percentage,Actual EGR A (SAE),Commanded EGR (SAE),Injection Pattern 1 Active,Post Pulse Active,Main Pulse Active,Intake Air Temp (SAE),Actual EGR B (SAE),DPF Delta Pressure B1 (SAE),DPF Outlet Pressure B1 (SAE),DPF Inlet Pressure B1 (SAE),Control Module Voltage,DPF Regen Percentage (SAE),Trans Current Gear,Trans Commanded Gear,Pilot Pulse Active,Manifold Air Temp,Injector Pulse Mode,Intake Air Temp,Engine Coolant Temp,DEF Level,Fuel Tank Level,DEF Temperature,Maximum Value For EQ Ratio (SAE),Maximum Value For O2 Sensor (SAE),Maximum Value For O2 Sensor (SAE),DEF Level Warning Level,DEF Injector Inhibit Reason,DPF Distance Since Last Regen,VIN Program Counter,Barometric Pressure,Ambient Air Temp
s,rpm,,lb/min,psi,rpm,,A,V,,°,°F,°F,°F,,,psi,°F,rpm,psi,psi,mm³,rpm,,%,%,psi,psi,rpm,mg,°F,ppm,%,%,%,psi,psi,%,Hz,%,%,,%,%,%,°,%,%,%,%,%,lb·ft,%,%,lb·ft,,lb·ft,%,ms,ppm,,mph,psi,psi,psi,%,%,%,,,,°F,%,psi,psi,psi,V,%,,,,°F,,°F,°F,%,gal,°F,,mA,V,,,mi,,psi,°F

[Channel Data]
0.296,0,CeTCCC_ImmediateOff,4.0556237752,-0.0135972885,600,14.6997070313,1.6132302284,0.4705882353,0.5,-1,1832,1832,1832,Normal,1,0,1832,599.75,0,0,7,576.5,Range_Shift_Completed,0,0,4707.4951393787,4761.5891321478,22.875,7.3242602348,1832,0,63.5294117647,63.5294117647,63.5294117647,0.0942745335,14.6352148451,63.5294117647,3768,0,0,1,100,0,0,-1.1328125,19.2156862745,10.1960784314,2,11,-0.327,916.7897515516,74.5098039216,-0.327,101.7773754781,8.732758522,-586.34765625,9.4117647059,1.3093798828,0,0,0,14.5037743897,4706.4747894668,4703.5541609478,0,100,62.7450980392,No,No,Yes,105.8,0,0.0145037744,0,0,14.3,100,1st Gear,Return_To_Prev_Range,Yes,98.6,Pilot & Main,105.8,181.4,38.0392156863,32.5344393576,176,20,0,0,OK,DEF Temp,40721.5610832737,1,14.6488121336,84.2
0.321,0,CeTCCC_ImmediateOff,4.0556237752,-0.0135972885,600,14.6997070313,1.6132302284,0.4705882353,0.5,-1,1832,1832,1832,Normal,1,0,1832,599.75,0,0,7,576.5,Range_Shift_Completed,0,0,4706.9178363471,4761.5891321478,22.875,7.3395575809,1832,0,63.5294117647,63.5294117647,63.5294117647,0.0942745335,14.6352148451,63.5294117647,3768,0,0,1,100,0,0,-1.1328125,19.2156862745,10.1960784314,2,11,-0.327,916.7897515516,74.5098039216,-0.327,101.7652059526,8.732758522,-586.34765625,9.4117647059,1.3093798828,0,0,0,14.5037743897,4706.4747894668,4703.5541609478,0,100,62.7450980392,No,No,Yes,105.8,0,0.0145037744,0,0,14.3,100,1st Gear,Return_To_Prev_Range,Yes,98.6,Pilot & Main,105.8,181.4,38.0392156863,32.5344393576,176,20,0,0,OK,DEF Temp,40721.5610832737,1,14.6488121336,84.2
0.344,0,CeTCCC_ImmediateOff,4.0556237752,-0.0135972885,600,14.6997070313,1.6132302284,0.4705882353,0.5,-1,1832,1832,1832,Normal,1,0,1832,599.75,0,0,7,576.5,Range_Shift_Completed,0,0,4704.9235167834,4745.6053807795,22.875,7.4335269928,1832,0,63.5294117647,63.5294117647,63.5294117647,0.0917642649,14.6368798192,63.5294117647,3769.3469387755,0,0,1,100,0,0,-1.1328125,19.2156862745,10.1960784314,2,11,-0.327,916.7897515516,74.5098039216,-0.327,101.7397605813,8.732758522,-586.34765625,9.4117647059,1.3093798828,0,0,0,14.5037743897,4706.4747894668,4703.5541609478,0,100,62.7450980392,No,No,Yes,105.8,0,0.0145037744,0,0,14.3,100,1st Gear,Return_To_Prev_Range,Yes,98.6,Pilot & Main,105.8,181.4,38.0392156863,32.5344393576,176,20,0,0,OK,DEF Temp,40721.5610832737,1,14.6488121336,84.2
0.371,0,CeTCCC_ImmediateOff,4.0697749566,-0.0190362039,600,14.6997070313,1.6102336038,0.4705882353,0.5,-1,1832,1832,1832,Normal,1,0,1832,599.75,0,0,7,576.5,Range_Shift_Completed,0,0,4704.6352313443,4718.0778089786,22.875,7.4156173834,1832,0,63.5294117647,63.5294117647,63.5294117647,0.0797707591,14.6488121336,63.5294117647,3779,0,0,1,100,0,0,-1.1323242188,19.2156862745,10.1960784314,2,11,-0.327,916.7897515516,74.5098039216,-0.327,101.709889928,8.7194710522,-586.34765625,9.4117647059,1.3094012369,0,0,0,14.5037743897,4706.4747894668,4703.5541609478,0,100,62.7450980392,No,No,Yes,105.8,0,0.0145037744,0,0,14.3,100,1st Gear,Return_To_Prev_Range,Yes,98.6,Pilot & Main,105.8,181.4,38.0392156863,32.5344393576,176,20,0,0,OK,DEF Temp,40721.5610832737,1,14.6488121336,84.2
0.397,0,CeTCCC_ImmediateOff,4.0834020202,-0.027194577,600,14.6997070313,1.6073479652,0.4705882353,0.5,-1,1832,1832,1832,Normal,1,0,1832,599.75,0,0,7,576.5,Range_Shift_Completed,0,0,4703.5541609478,4727.462604172,22.875,7.3004841805,1832,0,63.5294117647,63.5294117647,63.5294117647,0.080696532,14.6488121336,63.5294117647,3777.2,0,0,1,100,0,0,-1.131266276,19.2156862745,10.1960784314,2,11,-0.327,916.7897515516,74.5098039216,-0.327,101.6811255952,8.7066757109,-586.34765625,9.4117647059,1.3094805519,0,0,0,14.5037743897,4706.4747894668,4703.5541609478,0,100,62.7450980392,No,No,Yes,105.8,0,0.0145037744,0,0,14.3,100,1st Gear,Return_To_Prev_Range,Yes,98.6,Pilot & Main,105.8,181.4,38.0392156863,32.5344393576,176,20,0,0,OK,DEF Temp,40721.5610832737,1,14.6488121336,84.2
0.419,0,CeTCCC_ImmediateOff,4.0713820342,-0.027194577,600,14.6997070313,1.6047527272,0.4799658994,0.50003985,-1,1832,1832,1832,Normal,1,0,1832,599.75,0,0,7,576.5,Range_Shift_Completed,0,0,4703.5901238284,4739.8334705632,22.875,7.3042187172,1832,0,63.5294117647,63.5294117647,63.5294117647,0.0841218915,14.6488121336,63.5294117647,3770,0,0,1,100,0,0,-1.1303710938,19.2156862745,10.1960784314,2,11,-0.327,916.7897515516,74.5098039216,-0.327,101.6567865444,8.6958488837,-586.34765625,9.4117647059,1.3095476646,0,0,0,14.5037743897,4706.4747894668,4704.0027334927,0,100,62.7450980392,No,No,Yes,105.8,0,0.0145037744,0,0,14.3,100,1st Gear,Return_To_Prev_Range,Yes,98.6,Pilot & Main,105.8,181.4,38.0392156863,32.5344393576,176,20,0,0,OK,DEF Temp,40721.5610832737,1,14.6488121336,84.2
